===== MAP QUALITY =====
label                  p3_post_s2003
iou@2_aligned          0.5228
precision@2_aligned    0.9973
recall@2_aligned       0.6001
rmse_m_aligned         0.0396
phantom_frac           0.0000
align_shift_m          0.4500
align_deg              -0.5000
iou@2                  0.2459
phantom_frac_raw       0.3744
rmse_m                 0.2389
slam_ate_rmse_m        0.5501
slam_final_err_m       0.5225
odom_ate_rmse_m        1.2963
odom_final_err_m       1.0635
free_area_m2           232.3450
gt_free_area_m2        359.6100
free_area_ratio        0.6461
known_area_m2          244.8175
map_extent_m           24.35, 16.10
world_extent_m         24.20, 16.20
extent_excess_m        0.15, -0.10
wrote /ros2_ws/reports/night/p3_post_s2003/map_vs_world.png
wrote /ros2_ws/reports/night/p3_post_s2003/map_score.json

===== DRIVING SAFETY =====
samples                1509
duration_s             754.0
path_len_m             60.75
min_clearance_m        0.381
p05_clearance_m        0.427
contacts               0
contact_events         0
near_misses            0
doorway_passes         18
stuck_events           9
stuck_time_s           297.5
stuck_frac             0.395
mean_speed_mps         0.081
visited_area_m2        1.29

wrote /ros2_ws/reports/night/p3_post_s2003/safety_score.json

artefacts in reports/night/p3_post_s2003:
  987  explorer.log
  162  imu.log
  156829  map.pgm
  120  map.yaml
  1330  map_saver.log
  1483  map_score.json
  102829  map_vs_world.png
  9151  odom.log
  1331653  overlay.log
  110419  pose_error.csv
  0  pose_rec.log
  1433  run.log
  330  safety_score.json
  5464  sim.log
  499  timelapse.log
  117730  timelapse.mp4
  7810  timelapse_final.png
  1095  timelapse_path.csv
  17705  traj.csv
  0  traj.log
