===== MAP QUALITY =====
label                  p1_post_s2001
iou@2_aligned          0.7613
precision@2_aligned    0.9140
recall@2_aligned       0.8485
rmse_m_aligned         0.2611
phantom_frac           0.0831
align_shift_m          0.3500
align_deg              0.0000
iou@2                  0.3714
phantom_frac_raw       0.3910
rmse_m                 0.3205
slam_ate_rmse_m        0.3988
slam_final_err_m       0.4230
odom_ate_rmse_m        0.9988
odom_final_err_m       0.8877
free_area_m2           345.1050
gt_free_area_m2        359.6100
free_area_ratio        0.9597
known_area_m2          363.8025
map_extent_m           24.30, 16.00
world_extent_m         24.20, 16.20
extent_excess_m        0.10, -0.20
wrote /ros2_ws/reports/night/p1_post_s2001/map_vs_world.png
wrote /ros2_ws/reports/night/p1_post_s2001/map_score.json

===== DRIVING SAFETY =====
samples                1992
duration_s             995.5
path_len_m             85.17
min_clearance_m        0.364
p05_clearance_m        0.364
contacts               0
contact_events         0
near_misses            0
doorway_passes         25
stuck_events           11
stuck_time_s           506.5
stuck_frac             0.509
mean_speed_mps         0.086
visited_area_m2        1.82

wrote /ros2_ws/reports/night/p1_post_s2001/safety_score.json

artefacts in reports/night/p1_post_s2001:
  890  explorer.log
  161  imu.log
  155535  map.pgm
  121  map.yaml
  1330  map_saver.log
  1493  map_score.json
  75564  map_vs_world.png
  11916  odom.log
  1842759  overlay.log
  148905  pose_error.csv
  0  pose_rec.log
  1427  run.log
  331  safety_score.json
  5464  sim.log
  1649  timelapse.log
  135426  timelapse.mp4
  9782  timelapse_final.png
  1489  timelapse_path.csv
  23874  traj.csv
  0  traj.log
