===== MAP QUALITY =====
label                  n37_btfix_s101
iou@2_aligned          0.7328
precision@2_aligned    0.9397
recall@2_aligned       0.8102
rmse_m_aligned         0.2186
phantom_frac           0.0590
align_shift_m          0.4500
align_deg              -1.5000
iou@2                  0.2359
phantom_frac_raw       0.4722
rmse_m                 0.3478
slam_ate_rmse_m        0.5582
slam_final_err_m       0.4248
odom_ate_rmse_m        12.9299
odom_final_err_m       8.5782
free_area_m2           352.6750
gt_free_area_m2        359.6100
free_area_ratio        0.9807
known_area_m2          373.2025
map_extent_m           24.50, 16.50
world_extent_m         24.20, 16.20
extent_excess_m        0.30, 0.30
wrote /ros2_ws/reports/night/n37_btfix_s101/map_vs_world.png
wrote /ros2_ws/reports/night/n37_btfix_s101/map_score.json

===== DRIVING SAFETY =====
samples                2713
duration_s             1356.0
path_len_m             132.12
min_clearance_m        0.381
p05_clearance_m        0.447
contacts               0
contact_events         0
near_misses            0
doorway_passes         42
stuck_events           19
stuck_time_s           666.0
stuck_frac             0.491
mean_speed_mps         0.097
visited_area_m2        2.6

wrote /ros2_ws/reports/night/n37_btfix_s101/safety_score.json

artefacts in reports/night/n37_btfix_s101:
  621  explorer.log
  162  imu.log
  161715  map.pgm
  121  map.yaml
  1333  map_saver.log
  1469  map_score.json
  121732  map_vs_world.png
  15925  odom.log
  2212366  overlay.log
  204426  pose_error.csv
  0  pose_rec.log
  1440  run.log
  332  safety_score.json
  5877  sim.log
  771  timelapse.log
  187572  timelapse.mp4
  9386  timelapse_final.png
  2040  timelapse_path.csv
  33004  traj.csv
  0  traj.log
