===== MAP QUALITY =====
label                  n28_ship_s404
iou@2_aligned          0.0504
precision@2_aligned    0.1699
recall@2_aligned       0.1134
rmse_m_aligned         0.8020
phantom_frac           0.8161
align_shift_m          0.7018
align_deg              1.0000
iou@2                  0.0254
phantom_frac_raw       0.9117
rmse_m                 0.8568
slam_ate_rmse_m        0.5697
slam_final_err_m       0.5707
odom_ate_rmse_m        0.1855
odom_final_err_m       0.5188
free_area_m2           105.3700
gt_free_area_m2        359.6100
free_area_ratio        0.2930
known_area_m2          110.0700
map_extent_m           14.00, 13.95
world_extent_m         24.20, 16.20
extent_excess_m        -10.20, -2.25
wrote /ros2_ws/reports/night/n28_ship_s404/map_vs_world.png
wrote /ros2_ws/reports/night/n28_ship_s404/map_score.json

===== DRIVING SAFETY =====
samples                301
duration_s             150.0
path_len_m             9.34
min_clearance_m        0.461
p05_clearance_m        0.532
contacts               0
contact_events         0
near_misses            0
doorway_passes         3
stuck_events           2
stuck_time_s           63.5
stuck_frac             0.423
mean_speed_mps         0.062
visited_area_m2        0.26

wrote /ros2_ws/reports/night/n28_ship_s404/safety_score.json

artefacts in reports/night/n28_ship_s404:
  625  explorer.log
  161  imu.log
  78135  map.pgm
  118  map.yaml
  1330  map_saver.log
  1515  map_score.json
  93885  map_vs_world.png
  2466  odom.log
  115820  overlay.log
  21845  pose_error.csv
  0  pose_rec.log
  1456  run.log
  326  safety_score.json
  6310  sim.log
  238  timelapse.log
  58150  timelapse.mp4
  6374  timelapse_final.png
  225  timelapse_path.csv
  3499  traj.csv
  0  traj.log
